Город,Численность_населения_города,Административный_центр,Город_миллионник,Крупнейший_город,Крупный_город,Большой_город,Средний_город
Великий Новгород,218724.0,1,0,0,0,1,0
Великий Устюг,31664.0,0,0,0,0,0,0
Вельск,23885.0,0,0,0,0,0,0
Венёв,15220.0,0,0,0,0,0,0
Верещагино,22161.0,0,0,0,0,0,0
Верея,5368.0,0,0,0,0,0,0
Верхнеуральск,9459.0,0,0,0,0,0,0
Верхний Тагил,11839.0,0,0,0,0,0,0
Верхний Уфалей,30504.0,0,0,0,0,0,0
Верхняя Пышма,59745.0,0,0,0,0,0,1
Верхняя Салда,46240.0,0,0,0,0,0,0
Верхняя Тура,9468.0,0,0,0,0,0,0
Верхотурье,8815.0,0,0,0,0,0,0
Верхоянск,1311.0,0,0,0,0,0,0
Весьегонск,7330.0,0,0,0,0,0,0
Ветлуга,8956.0,0,0,0,0,0,0
Видное,56798.0,0,0,0,0,0,1
Вилюйск,10233.0,0,0,0,0,0,0
Вилючинск,22905.0,0,0,0,0,0,0
Вихоревка,22528.0,0,0,0,0,0,0
Вичуга,37609.0,0,0,0,0,0,0
Владивосток,592069.0,1,0,1,0,0,0
Владикавказ,311635.0,1,0,0,1,0,0
Владимир,348256.0,1,0,0,1,0,0
Волгоград,1021244.0,1,1,0,0,0,0
Волгодонск,170621.0,0,0,0,0,1,0
Волгореченск,17108.0,0,0,0,0,0,0
Волжск,55671.0,0,0,0,0,0,1
Волжский,314436.0,0,0,0,1,0,0
Вологда,301642.0,1,0,0,1,0,0
Володарск,9924.0,0,0,0,0,0,0
Волоколамск,23386.0,0,0,0,0,0,0
Волосово,12162.0,0,0,0,0,0,0
Волхов,47344.0,0,0,0,0,0,0
Волчанск,10008.0,0,0,0,0,0,0
Вольск,66520.0,0,0,0,0,0,1
Воркута,70551.0,0,0,0,0,0,1
Воронеж,889989.0,1,1,0,0,0,0
Ворсма,11622.0,0,0,0,0,0,0
Воскресенск,91301.0,0,0,0,0,0,1
Воткинск,100034.0,0,0,0,0,1,0
Всеволожск,59689.0,0,0,0,0,0,1
Вуктыл,12357.0,0,0,0,0,0,0
Выборг,80013.0,0,0,0,0,0,1
Выкса,56196.0,0,0,0,0,0,1
Высоковск,10642.0,0,0,0,0,0,0
Высоцк,1244.0,0,0,0,0,0,0
Вытегра,10490.0,0,0,0,0,0,0
Вышний Волочёк,52326.0,0,0,0,0,0,1
Вяземский,14556.0,0,0,0,0,0,0
Вязники,41252.0,0,0,0,0,0,0
Вязьма,57103.0,0,0,0,0,0,1
Вятские Поляны,35159.0,0,0,0,0,0,0
Гаврилов Посад,6434.0,0,0,0,0,0,0
Гаврилов-Ям,17792.0,0,0,0,0,0,0
Гагарин,31721.0,0,0,0,0,0,0
Гаджиево,11089.0,0,0,0,0,0,0
Гай,38302.0,0,0,0,0,0,0
Галич,17346.0,0,0,0,0,0,0
Гатчина,92566.0,0,0,0,0,0,1
Гвардейск,13888.0,0,0,0,0,0,0
Гдов,4379.0,0,0,0,0,0,0
Геленджик,54813.0,0,0,0,0,0,1
Георгиевск,72126.0,0,0,0,0,0,1
Глазов,95835.0,0,0,0,0,0,1
Голицыно,17447.0,0,0,0,0,0,0
Горбатов,2278.0,0,0,0,0,0,0
Горно-Алтайск,56928.0,1,0,0,0,0,1
Горнозаводск,12056.0,0,0,0,0,0,0
Горняк,13924.0,0,0,0,0,0,0
Городец,30699.0,0,0,0,0,0,0
Городище,8102.0,0,0,0,0,0,0
Городовиковск,9565.0,0,0,0,0,0,0
Гороховец,14015.0,0,0,0,0,0,0
Горячий Ключ,30093.0,0,0,0,0,0,0
Грайворон,6234.0,0,0,0,0,0,0
Гремячинск,10750.0,0,0,0,0,0,0
Грозный,271596.0,1,0,0,1,0,0
Грязи,46798.0,0,0,0,0,0,0
Грязовец,15528.0,0,0,0,0,0,0
Губаха,27544.0,0,0,0,0,0,0
Губкин,88562.0,0,0,0,0,0,1
Губкинский,23340.0,0,0,0,0,0,0
Гудермес,45643.0,0,0,0,0,0,0
Гуково,67268.0,0,0,0,0,0,1
Гулькевичи,35225.0,0,0,0,0,0,0
Гурьевск,18624.5,0,0,0,0,0,0
Гусев,28260.0,0,0,0,0,0,0
Гусиноозёрск,24603.0,0,0,0,0,0,0
Гусь-Хрустальный,60773.0,0,0,0,0,0,1
Давлеканово,24040.0,0,0,0,0,0,0
Дагестанские Огни,30671.0,0,0,0,0,0,0
Далматово,13913.0,0,0,0,0,0,0
Дальнегорск,37503.0,0,0,0,0,0,0
Дальнереченск,27601.0,0,0,0,0,0,0
Данилов,15861.0,0,0,0,0,0,0
Данков,21056.0,0,0,0,0,0,0
Дегтярск,15521.0,0,0,0,0,0,0
Дедовск,29280.0,0,0,0,0,0,0
Демидов,7333.0,0,0,0,0,0,0
Дербент,119961.0,0,0,0,0,1,0
Десногорск,29677.0,0,0,0,0,0,0
Дзержинск,240762.0,0,0,0,0,1,0
Дзержинский,47125.0,0,0,0,0,0,0
Дивногорск,28271.0,0,0,0,0,0,0
Дигора,10856.0,0,0,0,0,0,0
Димитровград,122549.0,0,0,0,0,1,0
Дмитриев,7721.0,0,0,0,0,0,0
Дмитров,61454.0,0,0,0,0,0,1
Дмитровск,5651.0,0,0,0,0,0,0
Дно,9061.0,0,0,0,0,0,0
Добрянка,33685.0,0,0,0,0,0,0
Долгопрудный,90976.0,0,0,0,0,0,1
Долинск,12200.0,0,0,0,0,0,0
Домодедово,96123.0,0,0,0,0,0,1
Донецк,50085.0,0,0,0,0,0,1
Донской,64561.0,0,0,0,0,0,1
Дорогобуж,10720.0,0,0,0,0,0,0
Дрезна,11815.0,0,0,0,0,0,0
Дубна,70569.0,0,0,0,0,0,1
Дубовка,14345.0,0,0,0,0,0,0
Дудинка,22207.0,0,0,0,0,0,0
Духовщина,4370.0,0,0,0,0,0,0
Дюртюли,31272.0,0,0,0,0,0,0
Дятьково,29438.0,0,0,0,0,0,0
Егорьевск,70133.0,0,0,0,0,0,1
Ейск,87771.0,0,0,0,0,0,1
Екатеринбург,1350136.0,1,1,0,0,0,0
Елабуга,70750.0,0,0,0,0,0,1
Елец,108404.0,0,0,0,0,1,0
Елизово,39548.0,0,0,0,0,0,0
Ельня,10095.0,0,0,0,0,0,0
Еманжелинск,30218.0,0,0,0,0,0,0
Емва,14574.0,0,0,0,0,0,0
Енисейск,18769.0,0,0,0,0,0,0
Ермолино,10409.0,0,0,0,0,0,0
Ершов,21447.0,0,0,0,0,0,0
Ессентуки,100969.0,0,0,0,0,1,0
Ефремов,42350.0,0,0,0,0,0,0
Железноводск,24496.0,0,0,0,0,0,0
Железногорск,90308.0,0,0,0,0,0,1
Железногорск-Илимский,26134.0,0,0,0,0,0,0
Железнодорожный,131729.0,0,0,0,0,1,0
Жердевка,15211.0,0,0,0,0,0,0
Жигулёвск,55560.0,0,0,0,0,0,1
Жиздра,5585.0,0,0,0,0,0,0
Жирновск,16890.0,0,0,0,0,0,0
Жуков,12150.0,0,0,0,0,0,0
Жуковка,18269.0,0,0,0,0,0,0
Жуковский,102729.0,0,0,0,0,1,0
Завитинск,11481.0,0,0,0,0,0,0
Заводоуковск,25657.0,0,0,0,0,0,0
Заволжск,12045.0,0,0,0,0,0,0
Заволжье,40265.0,0,0,0,0,0,0
Задонск,9695.0,0,0,0,0,0,0
Заинск,41798.0,0,0,0,0,0,0
Закаменск,11530.0,0,0,0,0,0,0
Заозёрный,10683.0,0,0,0,0,0,0
Заозёрск,11206.0,0,0,0,0,0,0
Западная Двина,9376.0,0,0,0,0,0,0
Заполярный,15835.0,0,0,0,0,0,0
Зарайск,24648.0,0,0,0,0,0,0
Заречный,45191.0,0,0,0,0,0,1
Заринск,48456.0,0,0,0,0,0,0
Звенигово,11945.0,0,0,0,0,0,0
Звенигород,16395.0,0,0,0,0,0,0
Зверево,22416.0,0,0,0,0,0,0
Зеленогорск,39438.5,0,0,0,0,0,1
Зеленоградск,13015.0,0,0,0,0,0,0
Зеленодольск,97651.0,0,0,0,0,0,1
Зеленокумск,35790.0,0,0,0,0,0,0
Зерноград,26850.0,0,0,0,0,0,0
Зея,25042.0,0,0,0,0,0,0
Зима,32522.0,0,0,0,0,0,0
Златоуст,174985.0,0,0,0,0,1,0
Злынка,5507.0,0,0,0,0,0,0
Змеиногорск,10955.0,0,0,0,0,0,0
Знаменск,29357.0,0,0,0,0,0,0
Зубцов,6937.0,0,0,0,0,0,0
Зуевка,11198.0,0,0,0,0,0,0
Ивангород,9797.0,0,0,0,0,0,0
Иваново,409277.0,1,0,0,1,0,0
Ивантеевка,58594.0,0,0,0,0,0,1
Ивдель,17764.0,0,0,0,0,0,0
Игарка,6183.0,0,0,0,0,0,0
Ижевск,628116.0,1,0,1,0,0,0
Избербаш,56301.0,0,0,0,0,0,1
Изобильный,40546.0,0,0,0,0,0,0
Иланский,16108.0,0,0,0,0,0,0
Инза,18547.0,0,0,0,0,0,0
Инсар,8687.0,0,0,0,0,0,0
Инта,32021.0,0,0,0,0,0,0
Ипатово,26055.0,0,0,0,0,0,0
Ирбит,38352.0,0,0,0,0,0,0
Иркутск,587225.0,1,0,1,0,0,0
Исилькуль,24481.0,0,0,0,0,0,0
Искитим,60072.0,0,0,0,0,0,1
Истра,35106.0,0,0,0,0,0,0
Ишим,65229.0,0,0,0,0,0,1
Ишимбай,66242.0,0,0,0,0,0,1
Йошкар-Ола,248688.0,1,0,0,0,1,0
Кадников,4797.0,0,0,0,0,0,0
Казань,1143546.0,1,1,0,0,0,0
Калач,20046.0,0,0,0,0,0,0
Калач-на-Дону,26892.0,0,0,0,0,0,0
Калачинск,23539.0,0,0,0,0,0,0
Калининград,431491.0,1,0,0,1,0,0
Калининск,16442.0,0,0,0,0,0,0
Калтан,21893.0,0,0,0,0,0,0
Калуга,325185.0,1,0,0,1,0,0
Калязин,13870.0,0,0,0,0,0,0
Камбарка,11028.0,0,0,0,0,0,0
Каменка,39579.0,0,0,0,0,0,0
Каменногорск,6761.0,0,0,0,0,0,0
Каменск-Уральский,174710.0,0,0,0,0,1,0
Каменск-Шахтинский,95306.0,0,0,0,0,0,1
Камень-на-Оби,43880.0,0,0,0,0,0,0
Камешково,13113.0,0,0,0,0,0,0
Камызяк,16291.0,0,0,0,0,0,0
Камышин,119924.0,0,0,0,0,1,0
Камышлов,26875.0,0,0,0,0,0,0
Канаш,45608.0,0,0,0,0,0,0
Кандалакша,35659.0,0,0,0,0,0,0
Канск,94230.0,0,0,0,0,0,1
Карабаново,14868.0,0,0,0,0,0,0
Карабаш,13151.0,0,0,0,0,0,0
Карабулак,31081.0,0,0,0,0,0,0
Карасук,28586.0,0,0,0,0,0,0
Карачаевск,23848.0,0,0,0,0,0,0
Карачев,19715.0,0,0,0,0,0,0
Каргат,10042.0,0,0,0,0,0,0
Каргополь,10148.0,0,0,0,0,0,0
Карпинск,29118.0,0,0,0,0,0,0
Карталы,29136.0,0,0,0,0,0,0
Касимов,33494.0,0,0,0,0,0,0
Касли,16998.0,0,0,0,0,0,0
Каспийск,103914.0,0,0,0,0,1,0
Катав-Ивановск,17640.0,0,0,0,0,0,0
Катайск,14017.0,0,0,0,0,0,0
Качканар,41429.0,0,0,0,0,0,0
Кашин,16174.0,0,0,0,0,0,0
Кашира,41880.0,0,0,0,0,0,0
