iter	Passed	Remaining
197	12142	49181
198	12207	49136
199	12283	49135
200	12347	49084
201	12411	49032
202	12469	48956
203	12525	48873
204	12588	48817
205	12652	48767
206	12709	48690
207	12770	48626
208	12835	48576
209	12889	48487
210	12948	48417
211	13015	48379
212	13079	48327
213	13141	48266
214	13208	48226
215	13273	48179
216	13340	48134
217	13403	48081
218	13463	48015
219	13534	47987
220	13606	47960
221	13667	47898
222	13733	47851
223	13789	47770
224	13864	47755
225	13924	47689
226	13989	47639
227	14046	47562
228	14114	47520
229	14188	47500
230	14246	47427
231	14312	47380
232	14367	47294
233	14433	47249
234	14500	47205
235	14555	47121
236	14619	47067
237	14695	47051
238	14761	47003
239	14823	46941
240	14893	46904
241	14959	46855
242	15014	46772
243	15072	46699
244	15144	46669
245	15202	46594
246	15265	46537
247	15323	46464
248	15382	46394
249	15446	46340
250	15507	46276
251	15578	46241
252	15642	46186
253	15720	46172
254	15779	46100
255	15850	46065
256	15925	46040
257	15983	45968
258	16045	45905
259	16110	45852
260	16180	45812
261	16248	45768
262	16309	45702
263	16365	45624
264	16419	45541
265	16495	45517
266	16550	45435
267	16617	45387
268	16682	45334
269	16741	45263
270	16805	45208
271	16863	45134
272	16918	45054
273	16974	44975
274	17031	44901
275	17092	44837
276	17161	44793
277	17221	44727
278	17274	44640
279	17332	44569
280	17389	44494
281	17445	44417
282	17510	44364
283	17572	44303
284	17638	44250
285	17690	44165
286	17757	44114
287	17813	44038
288	17884	44000
289	17941	43926
290	18015	43892
291	18084	43849
292	18157	43813
293	18230	43778
294	18301	43738
295	18376	43705
296	18437	43640
297	18504	43590
298	18570	43538
299	18642	43499
300	18708	43446
301	18763	43368
302	18824	43302
303	18882	43230
304	18955	43192
305	19016	43128
306	19082	43076
307	19141	43005
308	19203	42943
309	19260	42870
310	19321	42805
311	19386	42749
312	19450	42691
313	19511	42626
314	19570	42557
315	19630	42490
316	19684	42412
317	19749	42356
318	19808	42286
319	19868	42220
320	19924	42145
321	19983	42076
322	20052	42029
323	20125	41989
324	20186	41925
325	20254	41875
326	20309	41799
327	20376	41746
328	20438	41684
329	20497	41615
330	20553	41541
331	20628	41504
332	20686	41435
333	20756	41389
334	20812	41314
335	20887	41277
336	20952	41221
337	21012	41154
338	21083	41109
339	21140	41037
340	21197	40965
341	21250	40884
342	21321	40841
343	21382	40775
344	21444	40714
345	21501	40641
346	21562	40577
347	21624	40515
348	21700	40478
349	21767	40425
350	21833	40370
351	21894	40305
352	21955	40240
353	22019	40182
354	22090	40136
355	22160	40088
356	22224	40028
357	22281	39957
358	22346	39899
359	22413	39846
360	22471	39776
361	22534	39714
362	22595	39651
363	22665	39602
364	22741	39564
365	22803	39501
366	22875	39455
367	22933	39385
368	22986	39306
369	23055	39256
370	23122	39201
371	23186	39142
372	23257	39094
373	23320	39034
374	23373	38955
375	23443	38906
376	23516	38862
377	23577	38796
378	23636	38728
379	23702	38671
380	23763	38608
381	23834	38559
382	23889	38485
383	23945	38412
384	24005	38346
385	24064	38279
386	24133	38226
387	24189	38155
388	24248	38086
389	24320	38039
390	24377	37968
391	24430	37892
392	24486	37820
393	24554	37767
394	24611	37696
395	24687	37655
396	24748	37590
397	24825	37550
398	24893	37495
399	24961	37441
400	25029	37387
401	25085	37316
402	25151	37259
403	25228	37218
404	25297	37166
405	25353	37093
406	25414	37028
407	25483	36976
408	25551	36921
409	25609	36852
410	25676	36796
411	25735	36729
412	25799	36668
413	25878	36629
414	25938	36564
415	26008	36511
416	26062	36437
417	26122	36371
418	26195	36323
419	26254	36255
420	26313	36188
421	26370	36118
422	26433	36057
423	26492	35989
424	26559	35933
425	26616	35863
426	26676	35797
427	26747	35746
428	26816	35693
429	26892	35648
430	26948	35577
431	27019	35525
432	27077	35456
433	27143	35398
434	27200	35329
435	27265	35270
436	27331	35211
437	27395	35151
438	27449	35077
439	27509	35012
440	27568	34945
441	27628	34879
442	27685	34810
443	27758	34760
444	27813	34688
445	27871	34620
446	27932	34556
447	27997	34496
448	28062	34438
449	28122	34372
450	28194	34321
451	28247	34246
452	28311	34185
453	28379	34130
454	28446	34073
455	28510	34012
456	28574	33952
457	28631	33882
458	28688	33813
459	28762	33764
460	28841	33721
461	28914	33671
462	28987	33620
463	29061	33570
464	29128	33513
465	29187	33446
466	29255	33390
467	29310	33319
468	29369	33251
469	29429	33186
470	29499	33131
471	29553	33059
472	29623	33005
473	29678	32934
474	29741	32871
475	29807	32813
476	29878	32759
477	29944	32700
478	30013	32645
479	30073	32579
480	30139	32520
481	30197	32453
482	30265	32396
483	30338	32344
484	30395	32275
485	30455	32210
486	30521	32150
487	30589	32093
488	30660	32039
489	30716	31970
490	30778	31906
491	30844	31847
492	30899	31776
493	30964	31716
494	31022	31649
495	31095	31597
496	31154	31531
497	31212	31462
498	31274	31399
499	31331	31331
500	31387	31261
501	31452	31201
502	31513	31137
503	31571	31069
504	31633	31007
505	31687	30936
506	31747	30870
507	31807	30805
508	31868	30741
509	31934	30682
510	31995	30617
511	32070	30567
512	32130	30501
513	32190	30436
514	32248	30369
515	32311	30307
516	32367	30239
517	32437	30183
518	32500	30120
519	32565	30060
520	32637	30006
521	32694	29938
522	32753	29872
523	32816	29810
524	32896	29763
525	32968	29709
526	33046	29659
527	33121	29608
528	33189	29550
529	33246	29482
530	33308	29419
531	33361	29348
532	33413	29275
533	33482	29219
534	33555	29165
535	33616	29100
536	33676	29036
537	33732	28967
538	33805	28913
539	33874	28855
540	33936	28792
541	33999	28730
542	34058	28664
543	34125	28605
544	34184	28538
545	34252	28480
546	34315	28418
547	34375	28353
548	34431	28285
549	34498	28225
550	34554	28157
551	34620	28098
552	34678	28031
553	34740	27968
554	34805	27907
555	34880	27854
556	34941	27789
557	34998	27722
558	35057	27657
559	35120	27594
560	35178	27528
561	35239	27464
562	35309	27407
563	35371	27343
564	35436	27282
565	35494	27216
566	35571	27165
567	35648	27113
568	35718	27055
569	35789	26999
570	35853	26937
571	35922	26878
572	35995	26824
573	36070	26770
574	36141	26713
575	36200	26647
576	36264	26585
577	36321	26518
578	36386	26457
579	36453	26397
580	36530	26344
581	36585	26276
582	36648	26213
583	36712	26151
584	36776	26089
585	36839	26026
586	36898	25961
587	36958	25896
588	37014	25828
589	37077	25765
590	37139	25701
591	37198	25636
592	37261	25573
593	37323	25510
594	37387	25448
595	37453	25388
596	37516	25325
597	37573	25258
598	37633	25193
599	37699	25133
600	37765	25072
601	37836	25014
602	37896	24950
603	37955	24884
604	38032	24830
605	38108	24776
606	38168	24712
607	38226	24645
608	38280	24577
609	38337	24510
610	38409	24454
611	38480	24396
612	38547	24336
613	38616	24276
614	38687	24219
615	38745	24152
616	38813	24093
617	38876	24030
618	38946	23971
619	39020	23915
620	39069	23844
621	39130	23780
622	39193	23717
623	39258	23655
624	39317	23590
625	39379	23527
626	39446	23466
627	39510	23404
628	39563	23335
629	39620	23269
630	39681	23205
631	39748	23144
632	39812	23082
633	39871	23017
634	39932	22953
635	40000	22893
636	40067	22832
637	40134	22772
638	40191	22705
639	40258	22645
640	40310	22576
641	40371	22512
642	40426	22445
643	40500	22388
644	40559	22323
645	40634	22267
646	40692	22201
647	40760	22141
648	40823	22078
649	40881	22012
650	40956	21956
651	41019	21893
652	41095	21837
653	41150	21770
654	41205	21703
655	41257	21635
656	41325	21574
657	41379	21507
658	41450	21448
659	41524	21391
660	41584	21326
661	41643	21262
662	41704	21197
663	41777	21140
664	41848	21081
665	41916	21021
666	41988	20963
667	42068	20908
668	42130	20845
669	42190	20780
670	42250	20715
671	42312	20652
672	42371	20587
673	42443	20529
674	42512	20469
675	42573	20405
676	42634	20340
677	42691	20275
678	42750	20210
679	42808	20145
680	42866	20079
681	42939	20021
682	43001	19958
683	43067	19896
684	43125	19831
685	43181	19765
686	43252	19705
687	43310	19640
688	43384	19583
689	43451	19521
690	43517	19460
691	43579	19396
692	43641	19333
693	43703	19269
694	43761	19204
695	43828	19143
696	43902	19085
697	43971	19025
698	44033	18961
699	44097	18898
700	44158	18835
701	44231	18776
702	44299	18715
703	44353	18648
704	44412	18584
705	44472	18519
706	44537	18457
707	44605	18396
708	44673	18335
709	44733	18271
710	44807	18212
711	44868	18149
712	44922	18082
713	44987	18020
714	45049	17956
715	45109	17892
716	45176	17830
717	45235	17766
718	45294	17702
719	45351	17636
720	45420	17575
721	45478	17510
722	45540	17447
723	45604	17385
724	45672	17324
725	45730	17259
726	45793	17196
727	45864	17136
728	45933	17075
729	45990	17010
730	46053	16947
731	46124	16887
732	46192	16825
733	46251	16761
734	46312	16697
735	46377	16635
736	46434	16570
737	46499	16507
738	46563	16445
739	46625	16381
740	46691	16319
741	46759	16258
742	46822	16195
743	46890	16134
744	46956	16072
745	47022	16010
746	47092	15949
747	47150	15884
748	47212	15821
749	47275	15758
750	47333	15693
751	47394	15630
752	47461	15568
753	47530	15507
754	47606	15448
755	47681	15389
756	47732	15322
757	47800	15260
758	47859	15196
759	47918	15132
760	47976	15067
761	48047	15006
762	48105	14942
763	48166	14878
764	48238	14818
765	48311	14758
766	48382	14697
767	48438	14632
768	48508	14571
769	48567	14507
770	48640	14447
771	48703	14383
772	48761	14319
773	48832	14258
774	48903	14197
775	48958	14132
776	49015	14067
777	49074	14003
778	49135	13939
779	49193	13874
780	49255	13811
781	49331	13752
782	49390	13688
783	49464	13628
784	49533	13566
785	49588	13501
786	49650	13437
787	49712	13374
788	49781	13313
789	49852	13251
790	49922	13190
791	49989	13128
792	50060	13067
793	50120	13003
794	50189	12941
795	50253	12879
796	50311	12814
797	50367	12749
798	50434	12687
799	50504	12626
800	50563	12562
801	50633	12500
802	50700	12438
803	50762	12375
804	50820	12310
805	50892	12249
806	50951	12185
807	51009	12120
808	51074	12058
809	51131	11993
810	51187	11929
811	51252	11866
812	51305	11800
813	51373	11738
814	51430	11674
815	51501	11613
816	51562	11549
817	51622	11485
818	51678	11420
819	51743	11358
820	51816	11297
821	51879	11234
822	51947	11172
823	52016	11110
824	52079	11047
825	52147	10985
826	52217	10923
827	52277	10859
828	52341	10796
829	52401	10732
830	52478	10672
831	52538	10608
832	52602	10545
833	52671	10483
834	52731	10419
835	52796	10357
836	52866	10295
837	52933	10233
838	52995	10169
839	53061	10106
840	53118	10042
841	53183	9979
842	53252	9917
843	53315	9854
844	53381	9791
845	53446	9729
846	53507	9665
847	53574	9602
848	53636	9539
849	53696	9475
850	53760	9412
851	53822	9349
852	53898	9288
853	53962	9225
854	54022	9161
855	54089	9099
856	54146	9034
857	54204	8970
858	54275	8909
859	54335	8845
860	54403	8782
861	54462	8719
862	54531	8656
863	54594	8593
864	54655	8530
865	54708	8465
866	54785	8404
867	54845	8340
868	54917	8278
869	54989	8216
870	55059	8154
871	55119	8090
872	55181	8027
873	55239	7963
874	55300	7900
875	55364	7837
876	55429	7774
877	55489	7710
878	55552	7647
879	55609	7583
880	55672	7519
881	55757	7459
882	55835	7398
883	55905	7336
884	55966	7272
885	56025	7208
886	56082	7144
887	56136	7080
888	56208	7018
889	56274	6955
890	56337	6892
891	56397	6828
892	56457	6764
893	56522	6701
894	56587	6638
895	56654	6575
896	56713	6512
897	56771	6448
898	56829	6384
899	56892	6321
900	56949	6257
901	57021	6195
902	57098	6133
903	57157	6069
904	57216	6006
905	57281	5943
906	57352	5880
907	57422	5818
908	57483	5754
909	57552	5692
910	57608	5628
911	57667	5564
912	57738	5501
913	57809	5439
914	57878	5376
915	57949	5314
916	58012	5250
917	58069	5187
918	58133	5123
919	58207	5061
920	58279	4998
921	58346	4936
922	58420	4873
923	58486	4810
924	58557	4747
925	58625	4684
926	58682	4621
927	58747	4557
928	58819	4495
929	58888	4432
930	58946	4368
931	59007	4305
932	59063	4241
933	59127	4178
934	59195	4115
935	59261	4052
936	59316	3988
937	59383	3925
938	59438	3861
939	59495	3797
940	59555	3734
941	59622	3671
942	59684	3607
943	59746	3544
944	59806	3480
945	59876	3417
946	59937	3354
947	60014	3291
948	60082	3228
949	60148	3165
950	60218	3102
951	60283	3039
952	60339	2975
953	60409	2912
954	60484	2850
955	60545	2786
956	60605	2723
957	60668	2659
958	60738	2596
959	60798	2533
960	60855	2469
961	60919	2406
962	60976	2342
963	61032	2279
964	61106	2216
965	61168	2152
966	61238	2089
967	61301	2026
968	61356	1962
969	61418	1899
970	61492	1836
971	61554	1773
972	61624	1710
973	61688	1646
974	61759	1583
975	61831	1520
976	61901	1457
977	61958	1393
978	62027	1330
979	62083	1267
980	62139	1203
981	62208	1140
982	62276	1077
983	62334	1013
984	62394	950
985	62469	886
986	62535	823
987	62605	760
988	62669	697
989	62733	633
990	62813	570
991	62893	507
992	62954	443
993	63011	380
994	63068	316
995	63130	253
996	63200	190
997	63263	126
998	63328	63
999	63386	0
