iter	RMSE
131	0.4199866757
132	0.4199188553
133	0.4198410841
134	0.4197541412
135	0.4196808798
136	0.4196013859
137	0.4195072468
138	0.4194189361
139	0.4193367265
140	0.4192462129
141	0.4191708958
142	0.4190887898
143	0.4190304547
144	0.4189492908
145	0.4188655711
146	0.4187516923
147	0.418692599
148	0.4186224527
149	0.4185437553
150	0.4184938398
151	0.4184010597
152	0.4183499628
153	0.4182848817
154	0.418211737
155	0.4181579704
156	0.4181165854
157	0.4180275899
158	0.4179594314
159	0.4178976508
160	0.4178428688
161	0.4177635081
162	0.417722016
163	0.4176534532
164	0.4175322267
165	0.4174752577
166	0.4174193167
167	0.4173793275
168	0.417298051
169	0.417255102
170	0.4172147123
171	0.4171282095
172	0.4170915347
173	0.4170531735
174	0.4170074845
175	0.4169634822
176	0.4169088847
177	0.416840961
178	0.4168023866
179	0.4167721741
180	0.4167060739
181	0.416704887
182	0.4166377297
183	0.4165948906
184	0.4165729999
185	0.4165295267
186	0.4164859165
187	0.4164102661
188	0.4163730082
189	0.4163052861
190	0.4162468533
191	0.4161992586
192	0.4161814892
193	0.416175347
194	0.4161495536
195	0.4161181585
196	0.4160681068
197	0.4160377069
198	0.4159739546
199	0.4159557552
200	0.4159074956
201	0.4158529693
202	0.4158035992
203	0.4157301419
204	0.4157004359
205	0.4156810783
206	0.4156370349
207	0.4155887571
208	0.4155775068
209	0.4155348039
210	0.4154923924
211	0.4154598668
212	0.4153893534
213	0.4153393819
214	0.4152865836
215	0.4152552557
216	0.4152112804
217	0.4151958152
218	0.4151443266
219	0.415129312
220	0.415116559
221	0.4150996792
222	0.4150562971
223	0.4150388097
224	0.4150033233
225	0.4149129831
226	0.4148735826
227	0.4148693214
228	0.4148586899
229	0.4148169257
230	0.4147673503
231	0.4147342229
232	0.4146704694
233	0.4146681875
234	0.4146084936
235	0.4146067237
236	0.4145804875
237	0.4145663324
238	0.41452789
239	0.4145260554
240	0.4144817022
241	0.4144293085
242	0.4143991419
243	0.4143648476
244	0.4143181827
245	0.4142989325
246	0.4142245808
247	0.4142016401
248	0.4141749198
249	0.4141320365
250	0.414109699
251	0.4140707428
252	0.4140149256
253	0.413999668
254	0.4139626834
255	0.4139408028
256	0.4138909618
257	0.413822323
258	0.4137904775
259	0.4137609843
260	0.413724611
261	0.4137231879
262	0.4136976687
263	0.4136612815
264	0.4136603944
265	0.4136417999
266	0.4136059995
267	0.4136028197
268	0.4135701813
269	0.4135505985
270	0.4135164471
271	0.4134892488
272	0.4134378639
273	0.4133931946
274	0.413372837
275	0.413341474
276	0.413302778
277	0.4132540893
278	0.4132027915
279	0.4131860173
280	0.413163145
281	0.4131486262
282	0.4131159847
283	0.4130758927
284	0.4130516127
285	0.4130012682
286	0.412995169
287	0.4129912422
288	0.4129617318
289	0.4129156115
290	0.4128912156
291	0.4128759775
292	0.4128452862
293	0.4128432745
294	0.4128280062
295	0.4128010744
296	0.4127767049
297	0.4127567545
298	0.4127152006
299	0.4126888358
300	0.4126592146
301	0.4126484866
302	0.4126218413
303	0.4125866859
304	0.4125546747
305	0.4125301554
306	0.4124963697
307	0.4124577781
308	0.4124577419
309	0.4124466445
310	0.4124447528
311	0.4124042501
312	0.4123840424
313	0.4123648027
314	0.4123419196
315	0.4123369303
316	0.4123002795
317	0.4122798746
318	0.4122482596
319	0.4122467463
320	0.4122244347
321	0.4122157757
322	0.4121883677
323	0.4121324229
324	0.4121024212
325	0.4120756933
326	0.4120455218
327	0.4120209846
328	0.4119806354
329	0.4119661052
330	0.4119436967
331	0.4119016791
332	0.4118684606
333	0.4118302422
334	0.4118145722
335	0.4118044
336	0.4117784522
337	0.4117301018
338	0.4117144941
339	0.4116825591
340	0.4116558595
341	0.4116482787
342	0.4116259711
343	0.4116254036
344	0.4116253357
345	0.4116156938
346	0.411603843
347	0.4115899624
348	0.4115743647
349	0.4115582821
350	0.4115389917
351	0.4115344418
352	0.4115325206
353	0.4114852933
354	0.411459738
355	0.4114474007
356	0.4114325848
357	0.4113866608
358	0.4113674332
359	0.4113394331
360	0.4112917421
361	0.4112631111
362	0.4112368728
363	0.4112105207
364	0.4111916486
365	0.4111573358
366	0.4111562694
367	0.4111486013
368	0.4111066702
369	0.4110591152
370	0.4110278412
371	0.4110262524
372	0.4109956854
373	0.4109630762
374	0.4109610115
375	0.4109269443
376	0.410925863
377	0.4109026378
378	0.4108818611
379	0.410847439
380	0.4107764437
381	0.4107756508
382	0.4107347652
383	0.4107325291
384	0.4107106689
385	0.4106697647
386	0.4106405371
387	0.4106151635
388	0.4105648919
389	0.4105633806
390	0.410543392
391	0.4105204079
392	0.4104726726
393	0.4104573336
394	0.4104462344
395	0.410408689
396	0.410404805
397	0.410403102
398	0.4103889615
399	0.4103459007
400	0.4103451557
401	0.4103065695
402	0.4102918841
403	0.4102917659
404	0.4102702197
405	0.4102686875
406	0.4102514447
407	0.4102331289
408	0.4102331277
409	0.4102096405
410	0.4101714803
411	0.4101687434
412	0.4101222552
413	0.41010824
414	0.4101061707
415	0.4100942048
416	0.4100938196
417	0.4100935411
418	0.4100630276
419	0.4100341679
420	0.410024632
421	0.4099970872
422	0.4099725189
423	0.409963078
424	0.4099616402
425	0.409945134
426	0.4099132029
427	0.4099006773
428	0.4098994282
429	0.4098766092
430	0.4098500625
431	0.409846583
432	0.4098359308
433	0.4098249024
434	0.4098088519
435	0.4097862353
436	0.4097649131
437	0.4097395318
438	0.4097050818
439	0.4097030044
440	0.4097025721
441	0.4096822911
442	0.4096486277
443	0.4096320149
444	0.4096291529
445	0.4095977155
446	0.409565744
447	0.4095155052
448	0.4095091248
449	0.409498327
450	0.4094907207
451	0.4094880757
452	0.4094611485
453	0.4094442114
454	0.4094438338
455	0.4094426999
456	0.4094324943
457	0.4094174706
458	0.4094017319
459	0.409401124
460	0.4093909218
461	0.4093877075
462	0.409354667
463	0.4093119579
464	0.4092661038
465	0.4092464098
466	0.4092449822
467	0.4092432706
468	0.409205584
469	0.4092040813
470	0.4092021794
471	0.4091939039
472	0.4091546605
473	0.4091489295
474	0.4091229439
475	0.4091195312
476	0.4091007868
477	0.4090506482
478	0.4090489044
479	0.4090249979
480	0.4090112757
481	0.4089944082
482	0.4089553846
483	0.4089337895
484	0.4088901662
485	0.408889374
486	0.4088782979
487	0.4088545809
488	0.4088428805
489	0.408831296
490	0.4088296135
491	0.4088033357
492	0.4087943289
493	0.4087652345
494	0.4087466702
495	0.4087230759
496	0.4087169975
497	0.4086926737
498	0.4086711708
499	0.408670959
500	0.4086659262
501	0.4086495882
502	0.4086316903
503	0.4086028505
504	0.4085837195
505	0.4085828472
506	0.4085667267
507	0.4085565463
508	0.4085524474
509	0.4085489283
510	0.4085337255
511	0.4085297684
512	0.4085238972
513	0.40850544
514	0.408497571
515	0.4084821728
516	0.4084786728
517	0.4084580904
518	0.4084343259
519	0.4084172118
520	0.4084114682
521	0.4083774984
522	0.4083769589
523	0.408374931
524	0.4083739939
525	0.4083734065
526	0.4083550191
527	0.4083325409
528	0.4083014215
529	0.4082670322
530	0.4082660351
531	0.4082547931
532	0.408248035
533	0.4082202411
534	0.408199003
535	0.4081638558
536	0.4081308914
537	0.4081074246
538	0.4080982486
539	0.4080777032
540	0.4080379485
541	0.4080114055
542	0.4079875128
543	0.40797011
544	0.407958855
545	0.4079398611
546	0.4079084041
547	0.4078942796
548	0.4078880774
549	0.4078873226
550	0.4078651144
551	0.4078557475
552	0.4078233815
553	0.4077983214
554	0.407779062
555	0.4077695356
556	0.4077684049
557	0.407758469
558	0.4077579929
559	0.4077177561
560	0.4076966047
561	0.4076756233
562	0.4076419401
563	0.4076386611
564	0.4076252488
565	0.4076099588
566	0.4076078536
567	0.4075919187
568	0.4075685532
569	0.4075580206
570	0.4075573344
571	0.4075185142
572	0.4075137638
573	0.4075102971
574	0.4074716421
575	0.4074442866
576	0.4074090635
577	0.4074089423
578	0.407393869
579	0.4073747174
580	0.4073502275
581	0.4073357921
582	0.4073253028
583	0.4073073476
584	0.407273626
585	0.4072588832
586	0.4072586777
587	0.4072463701
588	0.4072329971
589	0.4072149008
590	0.4071937917
591	0.4071898174
592	0.4071592529
593	0.4071591345
594	0.4071587131
595	0.4071407338
596	0.4071395588
597	0.4071218374
598	0.4071151223
599	0.4070866981
600	0.4070672535
601	0.4070412904
602	0.4070394705
603	0.4070135565
604	0.4070013938
605	0.4069792186
606	0.4069789006
607	0.4069786721
608	0.406958642
609	0.4069406302
610	0.4069399876
611	0.4069262188
612	0.4069154048
613	0.406880972
614	0.406860381
615	0.4068497056
616	0.4068211056
617	0.4067886917
618	0.4067775562
619	0.4067627202
620	0.4067423318
621	0.406725087
622	0.4067095292
623	0.4066945032
624	0.4066942719
625	0.4066805353
626	0.406669239
627	0.4066422096
628	0.4066262561
629	0.4066096285
630	0.4065833894
631	0.4065659462
632	0.406542778
633	0.4065116642
634	0.4064976169
635	0.4064597476
636	0.4064585615
637	0.4064356921
638	0.4064261606
639	0.4063915413
640	0.4063721069
641	0.4063523794
642	0.4063452589
643	0.4063451292
644	0.4063438448
645	0.4063143619
646	0.4062880472
647	0.4062703873
648	0.4062688159
649	0.4062467035
650	0.4062364556
651	0.406206077
652	0.4061958697
653	0.4061628475
654	0.4061603131
655	0.4061558035
656	0.4061385565
657	0.4061324352
658	0.4060958728
659	0.406094435
660	0.4060656687
661	0.4060361818
662	0.4060177249
663	0.4060028643
664	0.4059942724
665	0.4059827957
666	0.4059405331
667	0.4059333211
668	0.4059079176
669	0.4059012872
670	0.4058687849
671	0.4058613089
672	0.4058599399
673	0.4058594989
674	0.4058373475
675	0.4058363696
676	0.405834919
677	0.4058015661
678	0.4057792268
679	0.4057665592
680	0.4057646509
681	0.4057637451
682	0.40574212
683	0.4057176691
684	0.4056994483
685	0.4056726678
686	0.4056411642
687	0.40563199
688	0.4056088179
689	0.4055995376
690	0.405595429
691	0.4055865378
692	0.4055644943
693	0.4055583737
694	0.4055573096
695	0.4055483078
696	0.4055479287
697	0.405524689
698	0.4055187188
699	0.4054998373
700	0.4054819716
701	0.4054697684
702	0.4054486345
703	0.4054299482
704	0.4054121284
705	0.4053968962
706	0.4053746871
707	0.4053665766
708	0.4053523956
709	0.4053291843
710	0.4053244524
711	0.4053133484
712	0.4053096877
713	0.4052903098
714	0.4052836226
715	0.4052817075
716	0.4052750808
717	0.405264978
718	0.4052380106
719	0.4052203056
720	0.4051946099
721	0.4051628905
722	0.4051522995
723	0.4051520814
724	0.4051335972
725	0.4051271409
726	0.4051125598
727	0.4050855877
728	0.4050608324
729	0.4050456047
730	0.4050434
731	0.4050312854
732	0.4050192553
733	0.4049958758
734	0.4049955167
735	0.4049951714
736	0.4049860349
737	0.4049853948
738	0.4049698371
739	0.4049530774
740	0.4049221209
741	0.4049089441
742	0.4048851999
743	0.4048687431
744	0.4048545771
745	0.4048233428
746	0.4048102783
747	0.4047814783
748	0.4047601193
749	0.4047410684
750	0.4047308992
751	0.4046911454
752	0.4046804789
753	0.4046687996
754	0.404621496
755	0.4046075084
756	0.4045874082
757	0.4045834309
758	0.4045738726
759	0.4045468372
760	0.40454532
761	0.4045292552
762	0.4045278687
763	0.4045275861
764	0.404517856
765	0.4045088091
766	0.4044950638
767	0.4044794883
768	0.404466752
769	0.4044449363
770	0.4044269114
771	0.4043973844
772	0.4043835449
773	0.4043643185
774	0.4043632523
775	0.4043433115
776	0.4043159228
777	0.404314205
778	0.4043049834
779	0.404282926
780	0.4042674849
781	0.4042599657
782	0.4042577605
783	0.4042481934
784	0.4042417999
785	0.404232403
786	0.4042262349
787	0.4042133853
788	0.404190611
789	0.4041740842
790	0.4041722968
791	0.4041500882
792	0.4041243417
793	0.4041050494
794	0.4040916597
795	0.4040912553
796	0.404082393
797	0.4040580471
798	0.4040223283
799	0.4039974732
800	0.4039843337
801	0.4039540319
802	0.4039309226
803	0.4038930307
804	0.4038823379
805	0.4038734048
806	0.4038730779
807	0.4038629356
808	0.4038433323
809	0.4038332655
810	0.4038131811
811	0.4038082522
812	0.4037954917
813	0.4037653755
814	0.4037490806
815	0.4037262226
816	0.403714571
817	0.403673637
818	0.4036723177
819	0.403647908
820	0.4036403456
821	0.4036367072
822	0.4036063299
823	0.4035810428
824	0.4035652387
825	0.4035639579
826	0.4035567932
827	0.403535766
828	0.4035227711
829	0.4035188451
830	0.4035014443
831	0.4034976372
832	0.4034972674
833	0.4034970919
834	0.4034901345
835	0.4034859387
836	0.4034855238
837	0.4034812666
838	0.4034615671
839	0.4034461842
840	0.4034435968
841	0.4034427144
842	0.4034425093
843	0.4034193916
844	0.4034181619
845	0.4033940647
846	0.403393971
847	0.403393674
848	0.4033699483
849	0.4033389301
850	0.403330593
851	0.4033232918
852	0.4033031271
853	0.4032793588
854	0.4032483144
855	0.403246884
856	0.4032356297
857	0.4032356278
858	0.4032344805
859	0.4032301095
860	0.4032282074
861	0.4032177062
862	0.4032171433
863	0.4032168923
864	0.4032145453
865	0.4031969585
866	0.403182893
867	0.4031822417
868	0.4031735893
869	0.4031729524
870	0.4031720519
871	0.4031704103
872	0.4031640676
873	0.4031523157
874	0.4031441298
875	0.4031118735
876	0.4031016457
877	0.4030749783
878	0.403074489
879	0.4030635719
880	0.4030618257
881	0.4030611459
882	0.4030600945
883	0.4030597563
884	0.403056296
885	0.4030491831
886	0.4030307245
887	0.4030189099
888	0.4030040149
889	0.4030037278
890	0.4029920908
891	0.4029818216
892	0.402953791
893	0.4029474231
894	0.4029391282
895	0.4029234169
896	0.4029046635
897	0.4028849858
898	0.4028742074
899	0.4028577765
900	0.4028465658
901	0.402830436
902	0.4028174052
903	0.4027914701
904	0.4027906126
905	0.4027610885
906	0.4027580366
907	0.4027462742
908	0.4027412111
909	0.4027217298
910	0.4027210468
911	0.4027093444
912	0.4027090817
913	0.4026740453
914	0.4026576432
915	0.4026477515
916	0.4026302106
917	0.4026300925
918	0.40262258
919	0.4025969951
920	0.4025777062
921	0.4025769722
922	0.402551718
923	0.4025406568
924	0.4025154462
925	0.4025033913
926	0.4024849286
927	0.402474109
928	0.4024648522
929	0.4024345354
930	0.4024189755
931	0.4024030658
932	0.4023816195
933	0.402374459
934	0.4023619024
935	0.4023601431
936	0.4023521006
937	0.402334627
938	0.4023342368
939	0.4023177969
940	0.402317652
941	0.4022864296
942	0.4022611329
943	0.40222921
944	0.4022225991
945	0.4022058335
946	0.4021854969
947	0.4021713462
948	0.4021667033
949	0.4021506036
950	0.4021498201
951	0.402142925
952	0.4021334241
953	0.4021325019
954	0.4021315026
955	0.4021152272
956	0.4021066321
957	0.4020913454
958	0.4020905017
959	0.4020857896
960	0.4020781
961	0.4020777809
962	0.4020580577
963	0.4020556731
964	0.4020329901
965	0.4020223087
966	0.402014073
967	0.4019916561
968	0.4019878137
969	0.4019773641
970	0.4019624337
971	0.4019522993
972	0.401929829
973	0.4019206329
974	0.4019078504
975	0.4018985549
976	0.401877002
977	0.4018682369
978	0.4018680819
979	0.4018478903
980	0.4018237985
981	0.4018210771
982	0.4018144764
983	0.401796811
984	0.4017961049
985	0.401794655
986	0.401773067
987	0.4017660814
988	0.4017625191
989	0.4017488377
990	0.4017468405
991	0.4017249202
992	0.4017163687
993	0.401715306
994	0.4017064452
995	0.4016863511
996	0.4016584366
997	0.4016562198
998	0.4016377553
999	0.4016366677
